"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2025","4,613.78","4,585.02","4,613.78","4,573.54","31.63M","0.71%"
"06/25/2025","4,581.30","4,619.12","4,622.78","4,569.87","26.86M","-0.79%"
"06/24/2025","4,617.77","4,682.36","4,682.87","4,595.02","46.47M","-1.48%"
"06/23/2025","4,687.29","4,700.30","4,711.92","4,679.26","17.89M","-0.26%"
"06/22/2025","4,699.60","4,703.25","4,724.47","4,685.06","12.85M","0.00%"
"06/19/2025","4,699.68","4,696.96","4,704.38","4,670.61","39.30M","-0.33%"
"06/18/2025","4,715.20","4,724.29","4,724.40","4,677.29","15.10M","-0.35%"
"06/17/2025","4,731.63","4,793.19","4,793.28","4,695.62","16.49M","-1.29%"
"06/16/2025","4,793.31","4,809.01","4,821.10","4,781.46","19.02M","-0.30%"
"06/15/2025","4,807.87","4,726.71","4,823.71","4,726.71","33.31M","1.65%"
"06/12/2025","4,730.05","4,722.18","4,730.05","4,687.69","19.85M","0.07%"
"06/11/2025","4,726.76","4,742.67","4,789.02","4,704.50","20.30M","0.47%"
"06/04/2025","4,704.80","4,713.42","4,734.02","4,704.20","14.17M","-0.02%"
"06/03/2025","4,705.77","4,739.61","4,748.75","4,705.77","11.94M","-0.70%"
"06/02/2025","4,739.02","4,720.57","4,739.02","4,716.39","10.97M","0.71%"
"06/01/2025","4,705.68","4,750.32","4,759.62","4,702.03","12.91M","-0.74%"
"05/29/2025","4,740.80","4,823.36","4,842.45","4,740.80","45.41M","-1.71%"
"05/28/2025","4,823.17","4,756.54","4,831.47","4,747.39","12.18M","1.60%"
"05/27/2025","4,747.16","4,778.75","4,778.79","4,737.36","10.04M","-0.64%"
"05/26/2025","4,777.84","4,743.29","4,779.97","4,729.60","11.51M","0.73%"
"05/25/2025","4,743.04","4,770.73","4,798.21","4,713.84","11.52M","-0.59%"
"05/22/2025","4,771.09","4,900.71","4,900.76","4,771.09","20.65M","-3.54%"
"05/21/2025","4,946.42","4,955.33","4,974.62","4,946.08","13.51M","-0.37%"
"05/20/2025","4,964.61","4,983.45","4,983.45","4,937.24","12.46M","-0.19%"
"05/19/2025","4,974.10","4,956.57","4,983.73","4,937.09","16.19M","0.35%"
"05/18/2025","4,956.92","4,958.13","4,975.98","4,930.23","9.84M","-0.02%"
"05/15/2025","4,958.03","4,947.85","4,958.03","4,901.32","14.58M","0.21%"
"05/14/2025","4,947.65","4,856.09","4,957.46","4,846.67","29.57M","2.09%"
"05/13/2025","4,846.48","4,862.37","4,873.15","4,818.26","14.90M","0.05%"
"05/12/2025","4,843.86","4,752.16","4,871.27","4,752.11","20.68M","2.14%"
"05/11/2025","4,742.23","4,743.13","4,752.61","4,734.37","7.48M","0.62%"
"05/08/2025","4,713.04","4,728.07","4,737.77","4,695.16","11.35M","-0.09%"
"05/07/2025","4,717.37","4,744.18","4,757.02","4,717.37","8.91M","-0.57%"
"05/06/2025","4,744.45","4,733.16","4,757.55","4,729.51","8.03M","0.32%"
"05/05/2025","4,729.44","4,737.37","4,744.70","4,713.60","11.91M","-0.17%"
"05/04/2025","4,737.65","4,785.15","4,813.28","4,737.65","14.10M","-0.99%"
"05/01/2025","4,785.16","4,813.42","4,822.92","4,784.53","10.69M","-0.59%"
"04/30/2025","4,813.78","4,868.96","4,869.11","4,812.03","15.52M","-1.13%"
"04/29/2025","4,868.65","4,888.95","4,898.22","4,859.69","11.45M","-0.42%"
"04/28/2025","4,889.25","4,896.38","4,905.43","4,869.85","10.96M","-0.14%"
"04/27/2025","4,895.99","4,895.27","4,904.50","4,876.65","9.47M","0.04%"
"04/24/2025","4,894.24","4,884.57","4,894.24","4,866.13","15.97M","0.20%"
"04/23/2025","4,884.40","4,856.47","4,902.92","4,856.19","16.04M","0.60%"
"04/22/2025","4,855.48","4,828.15","4,855.68","4,790.87","16.67M","0.59%"
"04/21/2025","4,827.19","4,865.60","4,865.60","4,818.01","8.17M","-0.97%"
"04/20/2025","4,874.57","4,837.72","4,884.15","4,837.72","11.43M","0.95%"
"04/17/2025","4,828.79","4,867.14","4,876.46","4,828.79","15.00M","-0.80%"
"04/16/2025","4,867.71","4,897.53","4,906.68","4,858.55","15.09M","-0.60%"
"04/15/2025","4,897.28","4,925.75","4,934.90","4,897.28","14.85M","-0.58%"
"04/14/2025","4,925.75","4,936.18","4,936.18","4,898.35","12.50M","0.16%"
"04/13/2025","4,917.76","4,934.95","4,935.96","4,906.94","11.14M","-0.33%"
"04/10/2025","4,933.96","4,992.15","5,010.44","4,871.09","25.62M","2.55%"
"04/09/2025","4,811.40","4,833.07","4,842.58","4,774.45","19.38M","-0.27%"
"04/08/2025","4,824.39","4,847.28","4,952.38","4,796.69","27.28M","0.71%"
"04/07/2025","4,790.23","4,718.29","4,808.91","4,660.69","34.79M","1.32%"
"04/06/2025","4,727.90","4,740.68","4,778.00","4,679.71","37.24M","-5.29%"
"04/03/2025","4,992.14","5,047.71","5,058.09","4,982.05","14.69M","-1.68%"
"03/27/2025","5,077.19","5,067.38","5,077.76","5,048.85","12.80M","0.39%"
"03/26/2025","5,057.70","4,972.26","5,057.70","4,972.26","16.31M","2.08%"
"03/25/2025","4,954.46","4,937.55","5,009.44","4,937.04","14.42M","0.56%"
"03/24/2025","4,926.97","4,909.18","4,927.04","4,872.66","10.11M","0.55%"
"03/23/2025","4,899.85","4,909.38","4,911.45","4,881.94","10.75M","0.34%"
"03/20/2025","4,883.34","4,779.91","4,883.34","4,769.59","29.45M","2.59%"
"03/19/2025","4,759.89","4,860.15","4,870.77","4,751.07","27.64M","-2.06%"
"03/18/2025","4,860.09","4,905.86","4,906.26","4,840.72","19.74M","-1.30%"
"03/17/2025","4,924.25","4,955.18","4,964.33","4,915.57","21.42M","-0.44%"
"03/16/2025","4,945.88","4,932.75","4,964.56","4,913.25","19.15M","0.45%"
"03/13/2025","4,923.75","4,972.65","4,981.95","4,913.26","24.80M","-0.98%"
"03/12/2025","4,972.55","4,996.66","5,005.82","4,953.76","17.06M","-0.30%"
"03/11/2025","4,987.57","4,985.30","5,003.59","4,938.45","28.83M","0.01%"
"03/10/2025","4,986.96","5,051.29","5,051.29","4,986.21","14.23M","-1.27%"
"03/09/2025","5,051.11","4,977.74","5,051.74","4,977.70","8.88M","1.49%"
"03/06/2025","4,977.18","5,041.83","5,050.97","4,958.46","19.01M","-1.10%"
"03/05/2025","5,032.64","5,098.25","5,107.54","5,031.36","15.58M","-1.29%"
"03/04/2025","5,098.49","5,165.83","5,165.83","5,090.20","26.90M","-2.17%"
"03/03/2025","5,211.52","5,162.50","5,220.95","5,152.62","11.55M","1.14%"
"03/02/2025","5,152.73","5,141.80","5,193.21","5,140.12","12.40M","0.21%"
"02/27/2025","5,142.10","5,162.96","5,180.56","5,132.16","22.15M","-0.39%"
"02/26/2025","5,162.20","5,201.19","5,211.00","5,152.63","11.93M","-0.74%"
"02/25/2025","5,200.43","5,171.08","5,218.66","5,134.71","15.84M","0.75%"
"02/24/2025","5,161.80","5,245.52","5,245.68","5,161.80","26.67M","-1.76%"
"02/20/2025","5,254.47","5,254.35","5,263.47","5,234.66","12.15M","0.17%"
"02/19/2025","5,245.35","5,246.10","5,264.17","5,236.85","9.05M","0.15%"
"02/18/2025","5,237.74","5,249.77","5,268.23","5,237.29","10.99M","-0.24%"
"02/17/2025","5,250.14","5,268.73","5,279.09","5,249.58","13.95M","-0.54%"
"02/16/2025","5,278.54","5,277.49","5,287.32","5,266.64","8.91M","0.02%"
"02/13/2025","5,277.25","5,268.36","5,277.51","5,257.57","8.80M","-0.01%"
"02/12/2025","5,277.61","5,257.86","5,277.97","5,257.45","12.73M","0.19%"
"02/11/2025","5,267.48","5,266.02","5,267.68","5,248.57","10.17M","0.02%"
"02/10/2025","5,266.18","5,247.28","5,266.54","5,237.97","12.09M","0.36%"
"02/09/2025","5,247.43","5,246.13","5,257.14","5,236.88","8.58M","0.03%"
"02/06/2025","5,245.93","5,252.47","5,263.83","5,233.87","11.43M","-0.13%"
"02/05/2025","5,252.59","5,252.60","5,252.94","5,233.94","9.14M","0.01%"
"02/04/2025","5,252.25","5,251.41","5,252.25","5,224.41","14.89M","0.01%"
"02/03/2025","5,251.74","5,260.64","5,260.64","5,232.53","11.76M","-0.17%"
"02/02/2025","5,260.67","5,271.53","5,271.81","5,251.45","6.34M","-0.21%"
"01/30/2025","5,271.51","5,270.51","5,271.51","5,243.01","9.91M","0.20%"
"01/29/2025","5,261.13","5,289.50","5,299.30","5,242.53","27.53M","-0.36%"
"01/28/2025","5,280.06","5,297.41","5,306.76","5,279.54","15.23M","-0.33%"
"01/27/2025","5,297.54","5,314.00","5,323.93","5,287.77","15.26M","-0.31%"
"01/26/2025","5,313.85","5,322.13","5,324.52","5,303.76","8.06M","-0.14%"
"01/23/2025","5,321.38","5,301.67","5,321.90","5,301.38","10.15M","0.37%"
"01/22/2025","5,301.87","5,301.41","5,329.16","5,300.22","10.14M","0.01%"
"01/21/2025","5,301.46","5,337.06","5,337.39","5,301.46","11.62M","-0.48%"
"01/20/2025","5,327.19","5,326.12","5,344.88","5,325.92","8.61M","0.02%"
"01/19/2025","5,325.96","5,344.19","5,345.07","5,325.15","8.27M","-0.34%"
"01/16/2025","5,343.97","5,316.29","5,344.54","5,315.56","14.50M","0.53%"
"01/15/2025","5,315.92","5,315.93","5,316.79","5,297.46","10.16M","0.00%"
"01/14/2025","5,316.11","5,306.59","5,326.29","5,297.36","9.24M","0.18%"
"01/13/2025","5,306.57","5,315.10","5,360.79","5,305.46","18.81M","0.17%"
"01/12/2025","5,297.58","5,294.73","5,314.25","5,284.62","10.22M","0.24%"
"01/09/2025","5,284.95","5,295.97","5,303.95","5,276.04","9.57M","-0.20%"
"01/08/2025","5,295.66","5,257.99","5,314.32","5,257.31","15.93M","0.72%"
"01/07/2025","5,257.81","5,292.96","5,302.47","5,257.03","14.48M","-0.50%"
"01/06/2025","5,284.09","5,299.80","5,312.21","5,282.11","18.10M","-0.30%"
"01/05/2025","5,299.73","5,299.64","5,308.70","5,289.80","6.78M","0.00%"
"01/02/2025","5,299.64","5,299.71","5,308.86","5,289.82","7.38M","0.00%"
"01/01/2025","5,299.56","5,299.93","5,309.46","5,290.05","5.52M","0.00%"
"12/31/2024","5,299.54","5,289.31","5,316.70","5,280.08","13.80M","0.55%"
"12/30/2024","5,270.69","5,260.99","5,288.82","5,251.69","18.62M","0.18%"
"12/29/2024","5,261.03","5,289.14","5,307.65","5,251.99","13.08M","-0.52%"
"12/26/2024","5,288.56","5,307.98","5,317.24","5,288.53","6.10M","-0.36%"
"12/25/2024","5,307.91","5,335.69","5,345.82","5,307.68","6.80M","-0.52%"
"12/24/2024","5,335.64","5,383.32","5,392.09","5,335.61","7.64M","-0.87%"
"12/23/2024","5,382.41","5,383.39","5,410.56","5,373.25","8.00M","0.15%"
"12/22/2024","5,374.33","5,439.48","5,439.48","5,373.61","16.43M","-1.84%"
"12/19/2024","5,475.15","5,355.86","5,475.15","5,327.75","105.79M","1.87%"
"12/18/2024","5,374.53","5,328.59","5,374.53","5,308.50","14.13M","1.03%"
"12/17/2024","5,319.58","5,386.74","5,394.59","5,319.58","16.47M","-1.25%"
"12/16/2024","5,386.96","5,378.49","5,388.24","5,351.09","14.43M","0.16%"
"12/15/2024","5,378.55","5,378.38","5,396.94","5,368.99","7.60M","0.00%"
"12/12/2024","5,378.58","5,397.64","5,407.13","5,368.92","14.32M","-0.34%"
"12/11/2024","5,397.15","5,425.62","5,435.11","5,387.98","21.92M","-0.37%"
"12/10/2024","5,416.96","5,352.25","5,435.56","5,351.78","30.24M","1.21%"
"12/09/2024","5,352.16","5,296.89","5,352.35","5,277.74","27.19M","1.23%"
"12/08/2024","5,286.97","5,286.75","5,297.29","5,277.14","11.52M","0.00%"
